program-name,current-version,experimental-version,status
libpaper,1.1.29,1.1.29,SAME
cups,2.4.16,2.4.16,SAME
gmp-with-cxx-6.3.0,dev,dev,SAME
pango-1.57.0,bin,bin,SAME
libxft-2.3.9,dev,dev,SAME
graphite2-1.3.14,dev,dev,SAME
harfbuzz-12.1.0,dev,dev,SAME
cairo-1.18.4,dev,dev,SAME
double-conversion-3.3.1,dev,dev,SAME
libtiff-4.7.1,bin,bin,SAME
libjpeg-turbo-3.1.2,bin,bin,SAME
gdk-pixbuf-2.44.4,dev,dev,SAME
vulkan-headers,1.4.328.0,1.4.328.0,SAME
vulkan-loader-1.4.328.0,dev,dev,SAME
util-linux,2.41.3,2.41.3,SAME
libbsd,0.12.2,0.12.2,SAME
tcb,1.2,1.2,SAME
shadow,4.18.0,4.18.0,SAME
fix-qt-module,paths.sh,paths.sh,SAME
icu4c-76.1,dev,dev,SAME
md4c,0.5.2,0.5.2,SAME
libdatrie-2019-12,20,20,SAME
liburcu,0.15.5,0.15.5,SAME
liburcu-0.15.5,dev,dev,SAME
lttng-ust-2.14.0,bin,bin,SAME
libxcb-render-util-0.3.10,dev,dev,SAME
sqlite-3.50.4,bin,bin,SAME
libxdmcp-1.1.5,dev,dev,SAME
libepoxy-1.5.10,dev,dev,SAME
libice-1.1.2,dev,dev,SAME
libxcursor-1.2.3,dev,dev,SAME
wayland-protocols,1.45,1.45,SAME
libsm-1.2.6,dev,dev,SAME
libxrandr-1.5.4,dev,dev,SAME
shared-mime-info,2.4,2.4,SAME
libxdamage-1.1.6,dev,dev,SAME
fribidi-1.0.16,dev,dev,SAME
libxinerama-1.1.5,dev,dev,SAME
gtk+3-3.24.51,dev,dev,SAME
psqlodbc,17.00.0006,17.00.0006,SAME
libxcb-util-0.4.1,dev,dev,SAME
libxkbcommon-1.11.0,dev,dev,SAME
qtbase-6.10.1,dev,dev,SAME
qtshadertools-6.10.1,dev,dev,SAME
qtsvg-6.10.1,dev,dev,SAME
qtlanguageserver,6.10.1,6.10.1,SAME
qtlanguageserver-6.10.1,dev,dev,SAME
qtdeclarative-6.10.1,dev,dev,SAME
ebproof-2.1.1,tex,tex,SAME
dvipdfmx-73031,texdoc,texdoc,SAME
aws-c-common,0.12.4,0.12.4,SAME
texlive,2024,2024,SAME
kpathsea,72376,72376,SAME
almfixed-0.92,tex,tex,SAME
productbox-1.1,tex,tex,SAME
python3.13-idna,3.11,3.11,SAME
python3.13-certifi,2025.07.14,2025.07.14,SAME
python3.13-json5,0.12.0,0.12.0,SAME
python3.13-zstandard,0.23.0,0.23.0,SAME
python3.13-urllib3,2.5.0,2.5.0,SAME
python3.13-charset-normalizer,3.4.3,3.4.3,SAME
python3.13-requests,2.32.5,2.32.5,SAME
python3.13-setuptools,80.9.0,80.9.0,SAME
python3.13-platformdirs,4.5.0,4.5.0,SAME
protobuf,32.1,32.1,SAME
python3.13-protobuf,6.33.1,6.33.1,SAME
python3.13-pycryptodome,3.23.0,3.23.0,SAME
nile,1.1.2,1.1.2,SAME
qtmultimedia,5.15.18,5.15.18,SAME
